number,type,short_description,category,priority,state,opened_at,resolved_at,assignment_group,region,related_ci
INC0010192,Incident,Delivery slot selection failing for Mpumalanga customers,Online Checkout,2,Closed,2025-08-26 06:27,2025-08-26 12:45,Digital Commerce,National / Online,Checkout-Service-02
CHG0007056,Change Request,Config change: pos terminal offline — store w180 unable to trade on 20 lanes,POS & Tills,4,Closed,2025-11-16 13:01,2025-11-20 13:55,Store Systems,Northern Cape,POS-Terminal-05
INC0010193,Incident,WRewards points not awarded on qualifying basket,WRewards Loyalty,4,Closed,2026-06-23 12:38,2026-06-26 02:38,Loyalty Platform,KwaZulu-Natal,Loyalty-API-34
INC0010194,Incident,EDI 856 backlog of 32 messages at gateway,Supply Chain EDI,3,Closed,2026-05-21 10:08,2026-05-23 23:19,Integration Hub,Gauteng,EDI-Gateway-04
PRB0004064,Problem,Courier manifest not generated for 55 orders,Order Fulfilment,4,Fix in Progress,2026-03-02 09:55,,Fulfilment Tech,Mpumalanga,OMS-Core-15
INC0010195,Incident,Invoice EDI mismatch blocking GRN for DC 17,Supply Chain EDI,4,Resolved,2025-11-18 11:02,2025-11-19 17:17,Integration Hub,KwaZulu-Natal,EDI-Gateway-26
PRB0004065,Problem,"Loyalty card lookup timing out at till, store W321",WRewards Loyalty,2,Root Cause Analysis,2026-05-12 19:23,,Loyalty Platform,National / Online,Loyalty-API-16
CHG0007057,Change Request,Deploy fix for eft declines spiking at store w370 — response code 91,Payments & EFT,3,Closed,2025-12-14 15:46,2025-12-15 04:34,Payments Ops,National / Online,EFT-Switch-05
PRB0004066,Problem,"Loyalty card lookup timing out at till, store W433",WRewards Loyalty,3,Fix in Progress,2026-06-11 09:16,,Loyalty Platform,Western Cape,Loyalty-API-33
PRB0004067,Problem,"Voucher barcode not scanning at till, store W226",Gift Cards & Vouchers,3,Root Cause Analysis,2026-05-19 10:14,,Payments Ops,Western Cape,GiftCard-Service-13
PRB0004068,Problem,Barcode scanner intermittently not reading at store W131,POS & Tills,2,Root Cause Analysis,2026-03-02 15:54,,Store Systems,Western Cape,POS-Terminal-19
PRB0004069,Problem,POS terminal offline — store W410 unable to trade on 8 lanes,POS & Tills,3,New,2025-09-16 20:58,,Store Systems,Gauteng,POS-Terminal-11
CHG0007058,Change Request,Emergency change: dual-message settlement mismatch for trading date 2026-01-01,Payments & EFT,3,Closed,2025-09-12 11:21,2025-09-14 06:16,Payments Ops,North West,EFT-Switch-17
PRB0004070,Problem,EDI 856 backlog of 27 messages at gateway,Supply Chain EDI,3,Closed,2026-06-02 19:49,2026-06-03 22:01,Integration Hub,Gauteng,EDI-Gateway-07
INC0010196,Incident,WRewards linking failing in app with error ERR-547,WRewards Loyalty,2,Closed,2025-09-18 20:00,2025-09-19 08:05,Loyalty Platform,National / Online,Loyalty-API-33
INC0010197,Incident,"POS EOD batch stuck at store W455, trading day not closed",POS & Tills,4,Resolved,2025-10-21 17:15,2025-10-25 01:35,Store Systems,Western Cape,POS-Terminal-19
INC0010198,Incident,Card payments timing out across Gauteng stores,Payments & EFT,2,New,2025-07-18 15:30,,Payments Ops,Western Cape,EFT-Switch-08
INC0010199,Incident,Duplicate barcodes detected for 38 products,Product Master Data,3,Resolved,2026-06-29 12:00,2026-07-02 15:02,Data Services,Gauteng,PIM-Hub-38
CHG0007059,Change Request,"Emergency change: tap-to-pay failing on new terminals, store w237",Payments & EFT,4,Closed,2026-04-02 15:04,2026-04-04 17:52,Payments Ops,KwaZulu-Natal,EFT-Switch-22
INC0010200,Incident,"Receipt printer failure on till 3, store W365",POS & Tills,1,Closed,2026-05-19 07:41,2026-05-19 15:05,Store Systems,National / Online,POS-Terminal-28
INC0010201,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,4,Closed,2026-04-26 08:14,2026-04-27 14:10,Fulfilment Tech,Western Cape,OMS-Core-29
INC0010202,Incident,Delivery slot selection failing for Western Cape customers,Online Checkout,4,In Progress,2026-02-10 13:25,,Digital Commerce,Gauteng,Checkout-Service-01
INC0010203,Incident,"Tap-to-pay failing on new terminals, store W424",Payments & EFT,2,Closed,2025-08-18 16:42,2025-08-18 23:26,Payments Ops,National / Online,EFT-Switch-39
INC0010204,Incident,Cycle-count variance file rejected for store W168,Inventory & Stock Sync,3,Closed,2026-01-15 19:01,2026-01-19 05:39,Merch Systems,Free State,Stock-Sync-Job-04
PRB0004071,Problem,Barcode scanner intermittently not reading at store W556,POS & Tills,4,Root Cause Analysis,2026-02-14 14:13,,Store Systems,National / Online,POS-Terminal-32
INC0010205,Incident,Cycle-count variance file rejected for store W144,Inventory & Stock Sync,3,Closed,2025-09-07 14:52,2025-09-08 11:07,Merch Systems,Limpopo,Stock-Sync-Job-34
PRB0004072,Problem,Card payments timing out across North West stores,Payments & EFT,3,Closed,2026-01-30 12:45,2026-01-31 05:43,Payments Ops,Western Cape,EFT-Switch-08
INC0010206,Incident,Promotion PRM-2265 double-discounting online,Pricing & Promotions,3,Closed,2025-11-17 14:28,2025-11-18 11:04,Merch Systems,National / Online,Promo-Engine-17
INC0010207,Incident,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,3,Closed,2026-05-11 18:30,2026-05-12 04:03,Digital Commerce,Limpopo,Checkout-Service-22
PRB0004073,Problem,"Loyalty card lookup timing out at till, store W526",WRewards Loyalty,3,Resolved,2026-05-30 15:16,2026-06-03 13:08,Loyalty Platform,Free State,Loyalty-API-05
INC0010208,Incident,Tier recalculation job failed — member benefits downgraded,WRewards Loyalty,2,Closed,2026-04-23 06:51,2026-04-23 11:56,Loyalty Platform,Limpopo,Loyalty-API-24
CHG0007060,Change Request,Emergency change: asn messages from vendor dairydirect failing schema validation,Supply Chain EDI,3,Closed,2026-06-17 13:01,2026-06-18 22:31,Integration Hub,Western Cape,EDI-Gateway-05
CHG0007061,Change Request,Config change: high packet loss to data centre from free state stores,Store Network & Connectivity,1,Closed,2025-11-11 15:23,2025-11-11 19:56,Network Ops,National / Online,Store-Router-18
INC0010209,Incident,New season SKUs missing attributes — 22 lines blocked from listing,Product Master Data,3,Closed,2026-05-07 07:56,2026-05-09 07:16,Data Services,National / Online,PIM-Hub-30
CHG0007062,Change Request,Emergency change: markdown batch stuck — clearance prices not live,Pricing & Promotions,2,Closed,2025-07-29 20:44,2025-07-30 07:18,Merch Systems,National / Online,Promo-Engine-15
INC0010210,Incident,Gift card balance enquiry timing out online,Gift Cards & Vouchers,4,Resolved,2026-02-25 10:54,2026-03-01 06:47,Payments Ops,KwaZulu-Natal,GiftCard-Service-16
INC0010211,Incident,Stock sync job overran window by 60 hours — online availability stale,Inventory & Stock Sync,3,Closed,2025-09-10 06:38,2025-09-14 02:17,Merch Systems,Limpopo,Stock-Sync-Job-15
INC0010212,Incident,Picking app not releasing waves at DC 4,Order Fulfilment,3,Closed,2026-06-01 07:04,2026-06-05 01:26,Fulfilment Tech,Gauteng,OMS-Core-15
INC0010213,Incident,Duplicate barcodes detected for 8 products,Product Master Data,3,Resolved,2026-04-01 20:56,2026-04-03 01:27,Data Services,Gauteng,PIM-Hub-26
INC0010214,Incident,"Receipt printer failure on till 2, store W420",POS & Tills,3,Closed,2026-06-01 19:20,2026-06-05 02:43,Store Systems,KwaZulu-Natal,POS-Terminal-39
INC0010215,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,4,Resolved,2026-06-16 17:39,2026-06-19 18:19,Payments Ops,Western Cape,EFT-Switch-35
CHG0007063,Change Request,"Deploy fix for pos eod batch stuck at store w559, trading day not closed",POS & Tills,3,Closed,2026-05-24 18:43,2026-05-25 15:43,Store Systems,Mpumalanga,POS-Terminal-20
INC0010216,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,3,On Hold,2026-06-28 09:13,,Fulfilment Tech,Northern Cape,OMS-Core-24
INC0010217,Incident,Dual-message settlement mismatch for trading date 2026-06-07,Payments & EFT,2,Closed,2025-10-31 11:13,2025-11-01 03:01,Payments Ops,Gauteng,EFT-Switch-23
INC0010218,Incident,"Promo price not applying at till for advertised line, store W347",Pricing & Promotions,1,Closed,2025-08-23 20:12,2025-08-23 23:29,Merch Systems,Free State,Promo-Engine-21
INC0010219,Incident,Barcode scanner intermittently not reading at store W364,POS & Tills,3,Closed,2026-02-02 18:26,2026-02-03 03:55,Store Systems,Mpumalanga,POS-Terminal-35
INC0010220,Incident,Order ORD-265719 split incorrectly across fulfilment nodes,Order Fulfilment,3,In Progress,2026-02-22 17:20,,Fulfilment Tech,KwaZulu-Natal,OMS-Core-10
INC0010221,Incident,"POS EOD batch stuck at store W103, trading day not closed",POS & Tills,4,Closed,2025-12-23 15:52,2025-12-24 05:43,Store Systems,Western Cape,POS-Terminal-27
PRB0004074,Problem,"POS EOD batch stuck at store W221, trading day not closed",POS & Tills,4,Root Cause Analysis,2026-04-17 07:47,,Store Systems,Free State,POS-Terminal-20
CHG0007064,Change Request,Deploy fix for duplicate vouchers issued to 49 members,WRewards Loyalty,2,Authorise,2026-05-29 18:56,,Loyalty Platform,KwaZulu-Natal,Loyalty-API-22
INC0010222,Incident,WRewards linking failing in app with error ERR-133,WRewards Loyalty,4,Closed,2025-08-03 20:47,2025-08-06 05:52,Loyalty Platform,Eastern Cape,Loyalty-API-11
PRB0004075,Problem,Store W234 on 4G failover — degraded POS response,Store Network & Connectivity,4,Resolved,2026-02-03 20:30,2026-02-07 06:02,Network Ops,Western Cape,Store-Router-27
INC0010223,Incident,Gift card redemption declining with error ERR-304 at store W196,Gift Cards & Vouchers,1,In Progress,2025-11-09 08:56,,Payments Ops,KwaZulu-Natal,GiftCard-Service-03
INC0010224,Incident,Duplicate barcodes detected for 4 products,Product Master Data,2,In Progress,2026-05-21 10:49,,Data Services,Mpumalanga,PIM-Hub-33
INC0010225,Incident,ASN messages from vendor DairyDirect failing schema validation,Supply Chain EDI,3,Closed,2026-02-24 13:36,2026-02-25 19:23,Integration Hub,Free State,EDI-Gateway-14
PRB0004076,Problem,Price file failed to deploy to 10 stores overnight,Pricing & Promotions,1,Resolved,2025-08-01 16:57,2025-08-01 20:50,Merch Systems,Western Cape,Promo-Engine-08
PRB0004077,Problem,"Receipt printer failure on till 10, store W196",POS & Tills,3,Closed,2025-11-05 11:14,2025-11-06 17:12,Store Systems,Western Cape,POS-Terminal-35
INC0010226,Incident,Store W260 receiving not reflecting in inventory ledger,Inventory & Stock Sync,2,Resolved,2026-05-10 15:18,2026-05-10 20:28,Merch Systems,KwaZulu-Natal,Stock-Sync-Job-23
INC0010227,Incident,WRewards linking failing in app with error ERR-906,WRewards Loyalty,4,Resolved,2026-01-10 07:56,2026-01-10 20:51,Loyalty Platform,KwaZulu-Natal,Loyalty-API-30
INC0010228,Incident,"Receipt printer failure on till 4, store W485",POS & Tills,2,New,2026-06-25 18:17,,Store Systems,Eastern Cape,POS-Terminal-28
CHG0007065,Change Request,Config change: voucher prm-4060 redeemable multiple times — exposure risk,Gift Cards & Vouchers,3,Implement,2025-12-05 15:02,,Payments Ops,Northern Cape,GiftCard-Service-37
INC0010229,Incident,"POS EOD batch stuck at store W416, trading day not closed",POS & Tills,4,Closed,2026-01-11 13:48,2026-01-15 16:05,Store Systems,North West,POS-Terminal-29
PRB0004078,Problem,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,3,Root Cause Analysis,2025-07-30 20:55,,Digital Commerce,Northern Cape,Checkout-Service-02
INC0010230,Incident,Click-and-collect orders stuck in ALLOCATED for store W464,Order Fulfilment,4,Resolved,2026-03-21 06:06,2026-03-21 22:16,Fulfilment Tech,Gauteng,OMS-Core-20
PRB0004079,Problem,Till 14 frozen on tender screen at store W506,POS & Tills,4,Resolved,2026-04-08 17:37,2026-04-12 10:53,Store Systems,Free State,POS-Terminal-26
INC0010231,Incident,ASN messages from vendor CapeMills failing schema validation,Supply Chain EDI,3,Resolved,2026-05-11 12:46,2026-05-12 06:27,Integration Hub,North West,EDI-Gateway-11
INC0010232,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,3,Closed,2025-08-15 12:06,2025-08-18 15:35,Payments Ops,Western Cape,EFT-Switch-08
INC0010233,Incident,Delivery slot selection failing for Western Cape customers,Online Checkout,2,Closed,2026-05-26 08:36,2026-05-26 13:31,Digital Commerce,Eastern Cape,Checkout-Service-06
INC0010234,Incident,Gift card balance enquiry timing out online,Gift Cards & Vouchers,3,On Hold,2026-04-11 15:54,,Payments Ops,National / Online,GiftCard-Service-37
INC0010235,Incident,3-D Secure redirect loop on mobile web checkout,Online Checkout,3,Closed,2026-05-07 20:41,2026-05-09 10:35,Digital Commerce,Mpumalanga,Checkout-Service-05
INC0010236,Incident,EFT declines spiking at store W410 — response code 91,Payments & EFT,3,Closed,2026-04-29 13:41,2026-05-02 11:08,Payments Ops,Northern Cape,EFT-Switch-18
CHG0007066,Change Request,Deploy fix for order ord-471401 split incorrectly across fulfilment nodes,Order Fulfilment,4,Closed,2026-06-30 12:12,2026-07-01 01:09,Fulfilment Tech,KwaZulu-Natal,OMS-Core-21
CHG0007067,Change Request,"Config change: loyalty card lookup timing out at till, store w535",WRewards Loyalty,4,Closed,2026-06-08 17:19,2026-06-10 13:32,Loyalty Platform,Western Cape,Loyalty-API-39
PRB0004080,Problem,Markdown batch stuck — clearance prices not live,Pricing & Promotions,2,Root Cause Analysis,2026-05-10 10:17,,Merch Systems,National / Online,Promo-Engine-20
CHG0007068,Change Request,Emergency change: order ord-799308 split incorrectly across fulfilment nodes,Order Fulfilment,4,Closed,2026-02-01 18:10,2026-02-04 15:27,Fulfilment Tech,KwaZulu-Natal,OMS-Core-26
CHG0007069,Change Request,Patch release for till 5 frozen on tender screen at store w289,POS & Tills,2,Closed,2025-07-20 16:39,2025-07-21 14:47,Store Systems,North West,POS-Terminal-40
INC0010237,Incident,Voucher PRM-5799 redeemable multiple times — exposure risk,Gift Cards & Vouchers,2,Closed,2025-12-28 11:56,2025-12-29 09:14,Payments Ops,Western Cape,GiftCard-Service-32
CHG0007070,Change Request,Emergency change: picking app not releasing waves at dc 18,Order Fulfilment,3,Implement,2026-04-21 06:44,,Fulfilment Tech,Gauteng,OMS-Core-21
INC0010238,Incident,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,3,Closed,2025-10-15 06:04,2025-10-17 17:06,Digital Commerce,Western Cape,Checkout-Service-19
PRB0004081,Problem,Cycle-count variance file rejected for store W220,Inventory & Stock Sync,3,Closed,2026-06-06 14:18,2026-06-07 08:05,Merch Systems,Mpumalanga,Stock-Sync-Job-07
INC0010239,Incident,Price file failed to deploy to 22 stores overnight,Pricing & Promotions,2,Closed,2025-08-17 13:34,2025-08-18 06:13,Merch Systems,National / Online,Promo-Engine-23
INC0010240,Incident,EFT declines spiking at store W111 — response code 91,Payments & EFT,3,Resolved,2026-05-10 14:33,2026-05-11 15:35,Payments Ops,Gauteng,EFT-Switch-23
INC0010241,Incident,EFT declines spiking at store W200 — response code 91,Payments & EFT,4,Closed,2026-06-12 19:31,2026-06-14 17:24,Payments Ops,Free State,EFT-Switch-32
PRB0004082,Problem,Images not loading on home screen — CDN 403s,Mobile App,2,Closed,2025-11-09 08:50,2025-11-09 15:47,Digital Commerce,KwaZulu-Natal,Mobile-BFF-03
INC0010242,Incident,Barcode scanner intermittently not reading at store W454,POS & Tills,2,On Hold,2026-06-14 10:20,,Store Systems,National / Online,POS-Terminal-34
INC0010243,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,4,Resolved,2025-08-18 07:03,2025-08-19 08:59,Digital Commerce,Gauteng,Checkout-Service-22
INC0010244,Incident,"Loyalty card lookup timing out at till, store W112",WRewards Loyalty,3,Resolved,2026-06-05 10:20,2026-06-06 00:03,Loyalty Platform,Free State,Loyalty-API-09
INC0010245,Incident,App crash on product page for Android 49% of sessions,Mobile App,4,On Hold,2025-12-31 16:50,,Digital Commerce,KwaZulu-Natal,Mobile-BFF-38
INC0010246,Incident,3-D Secure redirect loop on mobile web checkout,Online Checkout,3,Closed,2026-05-08 10:19,2026-05-11 06:48,Digital Commerce,National / Online,Checkout-Service-10
INC0010247,Incident,EDI 856 backlog of 38 messages at gateway,Supply Chain EDI,4,Closed,2025-12-10 06:06,2025-12-12 19:12,Integration Hub,KwaZulu-Natal,EDI-Gateway-40
INC0010248,Incident,Router config drift detected at store W301 after change,Store Network & Connectivity,2,Closed,2026-03-24 09:23,2026-03-25 06:48,Network Ops,Free State,Store-Router-35
INC0010249,Incident,"Loyalty card lookup timing out at till, store W535",WRewards Loyalty,3,Closed,2026-01-23 08:29,2026-01-24 23:39,Loyalty Platform,Gauteng,Loyalty-API-14
PRB0004083,Problem,"Receipt printer failure on till 12, store W502",POS & Tills,3,Fix in Progress,2026-05-20 20:35,,Store Systems,KwaZulu-Natal,POS-Terminal-16
INC0010250,Incident,"Mismatch between shelf-edge label and till price, store W239",Pricing & Promotions,3,Closed,2025-09-18 07:09,2025-09-18 19:41,Merch Systems,North West,Promo-Engine-40
INC0010251,Incident,Gift card redemption declining with error ERR-321 at store W453,Gift Cards & Vouchers,3,Closed,2025-08-26 10:01,2025-08-28 19:52,Payments Ops,Mpumalanga,GiftCard-Service-08
INC0010252,Incident,"POS EOD batch stuck at store W532, trading day not closed",POS & Tills,3,Closed,2026-01-06 20:54,2026-01-07 19:10,Store Systems,Eastern Cape,POS-Terminal-13
INC0010253,Incident,Stock sync job overran window by 29 hours — online availability stale,Inventory & Stock Sync,2,Resolved,2026-05-03 14:01,2026-05-03 21:05,Merch Systems,Gauteng,Stock-Sync-Job-36
CHG0007071,Change Request,Config change: 3-d secure redirect loop on mobile web checkout,Online Checkout,4,Closed,2026-01-19 14:26,2026-01-20 11:21,Digital Commerce,Gauteng,Checkout-Service-31
INC0010254,Incident,Till 5 frozen on tender screen at store W188,POS & Tills,4,On Hold,2026-04-18 12:55,,Store Systems,KwaZulu-Natal,POS-Terminal-10
PRB0004084,Problem,Wi-Fi outage in backup area of store W339 — RF guns offline,Store Network & Connectivity,1,Closed,2025-09-13 14:35,2025-09-13 21:45,Network Ops,Northern Cape,Store-Router-28
INC0010255,Incident,Stock sync job overran window by 17 hours — online availability stale,Inventory & Stock Sync,4,Resolved,2025-09-13 09:34,2025-09-14 03:06,Merch Systems,Gauteng,Stock-Sync-Job-28
INC0010256,Incident,Till 11 frozen on tender screen at store W229,POS & Tills,3,Resolved,2026-04-29 12:28,2026-04-29 23:40,Store Systems,Gauteng,POS-Terminal-39
INC0010257,Incident,Till 8 frozen on tender screen at store W234,POS & Tills,1,Closed,2025-11-18 14:21,2025-11-18 19:58,Store Systems,KwaZulu-Natal,POS-Terminal-39
INC0010258,Incident,"Promo price not applying at till for advertised line, store W359",Pricing & Promotions,2,Closed,2026-01-03 08:47,2026-01-04 06:12,Merch Systems,National / Online,Promo-Engine-15
INC0010259,Incident,Stock-on-hand not syncing to online for DC 12 range,Inventory & Stock Sync,4,Closed,2025-09-09 17:29,2025-09-10 10:27,Merch Systems,Limpopo,Stock-Sync-Job-26
INC0010260,Incident,App checkout button unresponsive on iOS 53,Mobile App,3,Closed,2026-06-22 07:26,2026-06-25 06:59,Digital Commerce,Western Cape,Mobile-BFF-28
INC0010261,Incident,EFT declines spiking at store W498 — response code 91,Payments & EFT,3,Closed,2026-06-03 07:55,2026-06-05 06:08,Payments Ops,KwaZulu-Natal,EFT-Switch-21
CHG0007072,Change Request,Deploy fix for delivery slot selection failing for limpopo customers,Online Checkout,2,Closed,2026-01-25 18:02,2026-01-26 00:32,Digital Commerce,KwaZulu-Natal,Checkout-Service-04
INC0010262,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,3,New,2026-04-29 09:47,,Digital Commerce,North West,Checkout-Service-12
CHG0007073,Change Request,Emergency change: till 3 frozen on tender screen at store w209,POS & Tills,3,Scheduled,2026-06-02 18:37,,Store Systems,National / Online,POS-Terminal-02
INC0010263,Incident,Unit-of-measure mismatch causing receiving failures at DC 13,Product Master Data,4,In Progress,2025-08-22 09:11,,Data Services,Gauteng,PIM-Hub-33
PRB0004085,Problem,Promotion PRM-8034 double-discounting online,Pricing & Promotions,3,New,2025-09-29 11:01,,Merch Systems,Gauteng,Promo-Engine-28
INC0010264,Incident,Markdown batch stuck — clearance prices not live,Pricing & Promotions,3,Resolved,2026-02-02 06:49,2026-02-05 14:54,Merch Systems,Gauteng,Promo-Engine-38
INC0010265,Incident,Till 10 frozen on tender screen at store W542,POS & Tills,3,Closed,2026-01-27 17:20,2026-01-30 04:41,Store Systems,Western Cape,POS-Terminal-34
CHG0007074,Change Request,"Patch release for checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,3,Closed,2026-05-03 19:35,2026-05-07 06:32,Digital Commerce,Eastern Cape,Checkout-Service-32
INC0010266,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,4,In Progress,2026-04-24 16:19,,Payments Ops,National / Online,EFT-Switch-17
INC0010267,Incident,Basket total mismatch after promo applied at checkout,Online Checkout,2,In Progress,2026-01-12 17:09,,Digital Commerce,Western Cape,Checkout-Service-35
INC0010268,Incident,WRewards linking failing in app with error ERR-259,WRewards Loyalty,4,Closed,2026-03-14 08:51,2026-03-15 12:33,Loyalty Platform,National / Online,Loyalty-API-36
CHG0007075,Change Request,Config change: store w486 receiving not reflecting in inventory ledger,Inventory & Stock Sync,4,Implement,2026-05-24 10:40,,Merch Systems,Gauteng,Stock-Sync-Job-36
CHG0007076,Change Request,Emergency change: till 6 frozen on tender screen at store w261,POS & Tills,3,Closed,2025-12-07 11:43,2025-12-09 19:13,Store Systems,Western Cape,POS-Terminal-16
PRB0004086,Problem,Checkout payment step returning 502 for 59% of sessions,Online Checkout,4,Closed,2025-11-14 17:54,2025-11-17 17:47,Digital Commerce,Gauteng,Checkout-Service-36
INC0010269,Incident,Cycle-count variance file rejected for store W289,Inventory & Stock Sync,3,Closed,2025-07-11 15:15,2025-07-12 00:40,Merch Systems,North West,Stock-Sync-Job-05
PRB0004087,Problem,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,3,Closed,2026-05-02 09:10,2026-05-02 18:57,Digital Commerce,Northern Cape,Checkout-Service-23
PRB0004088,Problem,Dual-message settlement mismatch for trading date 2026-06-14,Payments & EFT,4,Root Cause Analysis,2026-02-19 11:10,,Payments Ops,Western Cape,EFT-Switch-05
INC0010270,Incident,Click-and-collect orders stuck in ALLOCATED for store W388,Order Fulfilment,3,Resolved,2025-11-21 16:36,2025-11-25 02:35,Fulfilment Tech,Gauteng,OMS-Core-18
CHG0007077,Change Request,Patch release for edi 856 backlog of 26 messages at gateway,Supply Chain EDI,4,Closed,2026-01-23 10:10,2026-01-27 14:58,Integration Hub,Eastern Cape,EDI-Gateway-12
CHG0007078,Change Request,Config change: invoice edi mismatch blocking grn for dc 14,Supply Chain EDI,3,Authorise,2025-10-04 06:44,,Integration Hub,Gauteng,EDI-Gateway-20
PRB0004089,Problem,WRewards points not awarded on qualifying basket,WRewards Loyalty,2,Closed,2026-04-30 20:01,2026-04-30 23:27,Loyalty Platform,Free State,Loyalty-API-05
INC0010271,Incident,New season SKUs missing attributes — 49 lines blocked from listing,Product Master Data,3,Closed,2025-11-11 16:06,2025-11-14 01:31,Data Services,KwaZulu-Natal,PIM-Hub-39
CHG0007079,Change Request,Patch release for eft declines spiking at store w318 — response code 91,Payments & EFT,2,Closed,2026-05-25 13:30,2026-05-25 17:32,Payments Ops,Mpumalanga,EFT-Switch-06
INC0010272,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,4,On Hold,2026-06-03 16:41,,Payments Ops,National / Online,EFT-Switch-01
CHG0007080,Change Request,Config change: barcode scanner intermittently not reading at store w297,POS & Tills,3,Closed,2026-06-04 12:06,2026-06-08 10:31,Store Systems,Eastern Cape,POS-Terminal-21
PRB0004090,Problem,Gift card balance enquiry timing out online,Gift Cards & Vouchers,1,New,2025-12-11 20:22,,Payments Ops,Mpumalanga,GiftCard-Service-07
INC0010273,Incident,"Receipt printer failure on till 17, store W399",POS & Tills,3,Closed,2026-03-01 11:30,2026-03-03 19:40,Store Systems,Gauteng,POS-Terminal-02
PRB0004091,Problem,Invoice EDI mismatch blocking GRN for DC 5,Supply Chain EDI,3,Closed,2025-09-18 16:08,2025-09-21 10:46,Integration Hub,Eastern Cape,EDI-Gateway-32
INC0010274,Incident,"Receipt printer failure on till 14, store W336",POS & Tills,3,In Progress,2025-07-06 16:25,,Store Systems,National / Online,POS-Terminal-06
CHG0007081,Change Request,"Emergency change: receipt printer failure on till 11, store w553",POS & Tills,2,Closed,2026-01-31 09:24,2026-01-31 13:09,Store Systems,Gauteng,POS-Terminal-34
INC0010275,Incident,Stock-on-hand not syncing to online for DC 2 range,Inventory & Stock Sync,3,Resolved,2026-04-12 13:23,2026-04-13 18:18,Merch Systems,Gauteng,Stock-Sync-Job-10
INC0010276,Incident,Product images not propagating from PIM to web,Product Master Data,3,Resolved,2026-05-21 06:48,2026-05-22 20:24,Data Services,Gauteng,PIM-Hub-14
INC0010277,Incident,Barcode scanner intermittently not reading at store W475,POS & Tills,4,Closed,2026-02-11 11:20,2026-02-14 10:50,Store Systems,Gauteng,POS-Terminal-29
INC0010278,Incident,Till 1 frozen on tender screen at store W525,POS & Tills,4,Closed,2025-09-02 07:06,2025-09-04 15:14,Store Systems,Gauteng,POS-Terminal-24
INC0010279,Incident,"Promo price not applying at till for advertised line, store W456",Pricing & Promotions,4,Closed,2026-04-23 19:09,2026-04-26 15:16,Merch Systems,Gauteng,Promo-Engine-22
INC0010280,Incident,Markdown batch stuck — clearance prices not live,Pricing & Promotions,1,On Hold,2026-04-15 18:37,,Merch Systems,Gauteng,Promo-Engine-22
PRB0004092,Problem,"Mismatch between shelf-edge label and till price, store W532",Pricing & Promotions,4,Resolved,2026-02-19 19:40,2026-02-23 03:20,Merch Systems,Mpumalanga,Promo-Engine-04
INC0010281,Incident,Till 17 frozen on tender screen at store W160,POS & Tills,3,Resolved,2026-05-29 08:20,2026-05-31 15:16,Store Systems,Free State,POS-Terminal-32
INC0010282,Incident,ASN messages from vendor TextilePro failing schema validation,Supply Chain EDI,3,Closed,2025-08-04 20:21,2025-08-07 21:42,Integration Hub,KwaZulu-Natal,EDI-Gateway-05
INC0010283,Incident,Unit-of-measure mismatch causing receiving failures at DC 9,Product Master Data,3,In Progress,2026-06-08 15:44,,Data Services,KwaZulu-Natal,PIM-Hub-29
CHG0007082,Change Request,"Deploy fix for loyalty card lookup timing out at till, store w536",WRewards Loyalty,4,Scheduled,2026-05-17 17:23,,Loyalty Platform,Limpopo,Loyalty-API-04
CHG0007083,Change Request,Deploy fix for till 5 frozen on tender screen at store w181,POS & Tills,2,Closed,2026-01-12 13:43,2026-01-13 11:05,Store Systems,KwaZulu-Natal,POS-Terminal-29
INC0010284,Incident,POS terminal offline — store W250 unable to trade on 32 lanes,POS & Tills,3,On Hold,2026-04-22 10:25,,Store Systems,Western Cape,POS-Terminal-25
INC0010285,Incident,Bank switch latency above 8s causing tender timeouts,Payments & EFT,4,Closed,2026-05-02 18:36,2026-05-03 22:43,Payments Ops,Eastern Cape,EFT-Switch-24
INC0010286,Incident,ASN messages from vendor DairyDirect failing schema validation,Supply Chain EDI,4,Closed,2026-05-18 09:02,2026-05-20 06:04,Integration Hub,Western Cape,EDI-Gateway-31
PRB0004093,Problem,Unit-of-measure mismatch causing receiving failures at DC 9,Product Master Data,3,Resolved,2026-05-13 17:35,2026-05-14 18:38,Data Services,Gauteng,PIM-Hub-01
INC0010287,Incident,Duplicate vouchers issued to 4 members,WRewards Loyalty,3,On Hold,2026-06-10 20:35,,Loyalty Platform,Mpumalanga,Loyalty-API-29
